,# year,lat,lon,cOther_x,cCwd_x,cVeg_x,cLitter_x,cLeaf_x,cRoot_x,evspsblsoi,lai,tsl,mrro,mrsos,grassFrac,shrubFrac,cropFrac,baresoilFrac,residualFrac,treeFrac,shrubFrac.1,cSoil_x,cStem_x,wetlandFrac,ps,pr,tas_DJF,tas_JJA,tas_MAM,tas_SON,grassCropFrac,cesm_agb,agb,Unnamed: 0,cSoil_y,cCwd_y,cVeg_y,cLitter_y,cLeaf_y,cRoot_y,cStem_y,cOther_y,year,observed_agb
134,2014.0,51.3612556,-125.0,0.1077371835708618,1.3096615076065063,6.700986385345458,0.2293612509965897,0.14738610386848447,1.6703224182128906,5.341732958186185e-06,1.82959258556366,280.7401428222656,3.93065893149469e-05,39.582569122314446,27.56965065002441,0.6635321378707886,0.0617285780608654,9.320740699768066,20.000001907348633,42.38434219360352,0.6635321378707886,3.7435586452484126,4.785428047180176,0.037910785526037216,87560.3671875,5.002258330932818e-05,267.7843322753906,286.6595153808594,275.8986511230469,277.8659362792969,27.63137922808528,5.040551334619522,5.588361,13681,30.76208,7.2748785,14.497063,1.6829317,0.3112243,3.644968,10.317319,0.37766436,2015.0,11.00620766
135,2014.0,51.3612556,-123.75,0.23155046999454496,3.053871154785156,10.356589317321776,0.6098873019218445,0.2320210486650467,2.5944952964782715,2.880383135561715e-06,3.114267110824585,279.45022583007807,2.316428253834601e-05,33.85055923461914,20.50880622863769,0.3553180992603302,0.5403333306312561,9.082409858703613,8.000005722045898,61.51311874389648,0.3553180992603302,10.695893287658691,7.333400249481201,0.16756105422973633,86136.9609375,3.721859320648946e-05,267.09869384765625,286.62600708007807,275.5983581542969,276.9396057128906,21.04913955926895,7.796971768140793,4.378098,13682,31.790133,7.8884315,15.8444805,1.819495,0.34225234,3.9699259,11.291849,0.3766897,2015.0,12.010791039999999
136,2014.0,51.3612556,-122.5,0.22695221006870267,5.31879425048828,14.269988059997559,1.5593625307083128,0.31314796209335327,3.5916309356689453,2.0409479475347325e-06,4.044329643249512,278.9324035644531,1.3616139767691491e-05,40.40731430053711,14.820799827575684,0.03797155991196632,2.0496251583099365,3.0357935428619385,-5.960464477539063e-06,80.0558090209961,0.03797155991196632,19.095678329467773,10.170883178710936,0.0,86562.5625,2.8213957193656825e-05,267.2271423339844,287.1205139160156,276.4905700683594,276.9435119628906,16.87042498588562,10.710983350872992,8.6289474,13683,19.889215,4.496007,10.143119,0.98421264,0.22069415,2.528243,7.204014,0.2899764,2015.0,7.714684549999999
137,2014.0,51.3612556,-121.25,0.17103947699069977,7.308118820190429,15.185423851013184,2.4533870220184326,0.342075377702713,3.9131841659545894,2.5867218482744647e-06,4.218050479888916,279.0318908691406,9.838342521106824e-06,36.73111343383789,6.826836109161377,0.0,1.1525471210479736,0.1984077841043472,3.0000007152557373,88.82220458984375,0.0,26.692502975463867,10.829188346862791,0.179167702794075,87380.1640625,2.5694251235108823e-05,267.8526916503906,288.0626525878906,277.35501098632807,277.3890686035156,7.979383230209351,11.342303201556204,10.36214,13684,16.65684,3.5691264,8.72013,0.75838065,0.18441924,2.1889324,6.2082834,0.23714903,2015.0,6.629851670000001
138,2014.0,51.3612556,-120.0,0.15914852917194366,5.232374668121338,13.506627082824709,1.8677765130996704,0.3021136820316314,3.496699094772339,2.943045728898141e-06,3.6592750549316406,279.1849060058594,1.4737849596713204e-05,39.52411651611328,4.837456226348877,0.01857234351336956,1.3177508115768433,0.056993603706359856,3.9999964237213135,89.76921844482422,0.01857234351336956,18.83914566040039,9.642134666442873,0.07187742739915848,86980.0078125,3.0391734981094487e-05,267.74368286132807,288.2252197265625,277.5205078125,277.3409118652344,6.15520703792572,10.103396877646448,10.327647,13685,27.931902,6.368245,13.409649,1.4304922,0.28438482,3.376048,9.562666,0.33257845,2015.0,10.17962927
139,2014.0,51.3612556,-118.75,0.25393423438072205,2.722985982894897,11.585746765136719,0.4803117513656616,0.2647404968738556,2.8902883529663086,2.632064934005029e-06,3.517909288406372,279.2813415527344,2.0827150365221318e-05,31.56161499023437,17.523107528686523,0.363050252199173,0.8526585698127745,2.229627847671509,5.000004291534424,74.03154754638672,0.363050252199173,7.637299060821533,8.193293571472168,0.09927929192781448,85024.8125,3.564041617210023e-05,266.2833557128906,287.2532958984375,276.4805908203125,276.4571838378906,18.375766098499295,8.711968302726746,7.7901169999999995,13686,3.8226137,3.258992,9.339099,0.6398504,0.20146796,2.3048215,6.7023945,0.31332996,2015.0,7.217192419999999
140,2014.0,51.3612556,-117.5,0.3402744233608246,2.3856189250946045,9.074378013610842,0.4458919763565064,0.21614056825637817,2.2400190830230713,3.0244493700593007e-06,3.300163507461548,278.9669189453125,2.0656172637245614e-05,36.835445404052734,30.533447265625,1.0467883348464964,1.0050593614578247,8.73476505279541,7.999999523162842,50.679935455322266,1.0467883348464964,9.175293922424316,6.288849353790283,0.2578334510326385,82673.5546875,3.3739568607416004e-05,265.01513671875,286.1980285644531,275.12799072265625,275.2748107910156,31.538506627082825,6.845264345407486,6.0238026,13687,15.685386,3.97761,9.074687,0.8039675,0.19073501,2.2433634,6.384685,0.3175507,2015.0,6.89297071
141,2014.0,51.3612556,-116.25,0.4517475664615631,3.905420303344727,10.200119972229004,0.6897926926612854,0.24307797849178317,2.521416425704956,2.6237682959617814e-06,3.8850057125091553,278.5861511230469,1.0802763426909223e-05,37.48841857910156,29.672758102416992,0.6700554490089417,0.2959692180156708,15.87051773071289,3.000000238418579,50.4907112121582,0.6700554490089417,17.336885452270508,7.0120158195495605,0.4242790043354034,82296.046875,2.4614753783680495e-05,264.5360412597656,286.2969665527344,274.8570861816406,275.1822814941406,29.968727320432663,7.706841364502907,7.980563999999999,13688,-8.731811,3.457927,11.483142,0.678004,0.26133677,2.8006845,8.338037,0.33430985,2015.0,8.93368362
142,2014.0,51.3612556,-115.0,0.364507108926773,5.016284465789794,11.03225326538086,0.8589981198310851,0.26634955406188965,2.7494659423828125,2.1410835415736078e-06,4.118101596832275,278.5727233886719,7.798103069944771e-06,34.93990707397461,23.71761512756348,0.017831025645136833,15.96868896484375,4.417576313018799,-2.9802322387695312e-06,55.87829589843751,0.017831025645136833,23.33846473693848,7.6451449394226065,0.0,84782.3984375,2.123149351973552e-05,265.3040466308594,287.544189453125,276.662109375,276.85208129882807,39.68630409240723,8.276001602411268,2.0698328,13689,16.621363,4.403879,9.441527,1.0516212,0.20562682,2.3591452,6.6816087,0.25614622,2015.0,7.14338174
151,2014.0,51.3612556,-103.75,0.022449592128396038,0.033254723995923996,0.19437193870544436,0.6701920628547668,0.03168952092528343,0.011220413260161877,2.9430050290102368e-06,1.1071916818618774,280.1647033691406,1.2098681736461003e-06,29.916410446166992,23.09605598449707,0.0,72.0522232055664,0.6810726523399353,0.0,4.170651435852051,0.0,6.334399700164794,0.037837330251932144,0.0,94819.15625,1.182161213364452e-05,262.0129089355469,293.8556823730469,277.61187744140625,279.1546630859375,95.14827919006349,0.09197644330561161,0.7525399,13698,62.566437,6.435996,12.370256,1.5591857,0.3053876,2.8224125,8.72624,0.473367,2015.0,9.5049946
152,2014.0,51.3612556,-102.5,0.029389863833785057,0.03006201423704624,0.1424633115530014,0.6042965054512024,0.030533157289028168,0.008235120214521887,3.008493649758748e-06,1.0639172792434692,279.9994812011719,1.5067213325892224e-06,28.714330673217773,20.983837127685543,0.0,73.78795623779295,0.00394379673525691,-5.960464477539063e-06,5.2242751121521,0.0,6.974583148956299,0.02606499195098877,0.0,95054.2578125,1.1114648259535896e-05,261.3715515136719,293.7812194824219,276.8533935546875,278.87161254882807,94.77179336547853,0.085988013073802,2.0606949,13699,78.11447,8.841512,16.426645,2.1298897,0.39466593,3.8135462,11.631591,0.54052234,2015.0,12.566779270000001
153,2014.0,51.3612556,-101.25,0.04587595164775848,0.1499740034341812,0.42603230476379395,0.4331705570220947,0.03348580375313759,0.08468753844499587,4.663043000618927e-06,0.9010027050971984,280.047607421875,9.824193512031345e-07,27.59485054016113,18.68269157409668,0.0,40.65860366821289,0.0003296844370197505,2.0000007152557373,38.65837860107422,0.0,5.201894283294678,0.16184371709823608,0.0,95801.3671875,1.077349133993266e-05,261.38671875,294.29608154296875,277.2923889160156,278.7189025878906,59.34129524230957,0.24120547249913216,4.3201702,13700,26.150614,5.390726,12.637397,1.1412685,0.2712712,3.0808077,8.995936,0.41891363,2015.0,9.68612083
154,2014.0,51.3612556,-100.0,0.07253914326429367,0.07746735960245132,0.3205207884311676,0.36259773373603826,0.023037428036332127,0.045899342745542526,7.551054295618086e-06,0.6432461142539978,280.2775573730469,-1.2816677781302133e-06,33.72029495239258,29.541982650756836,0.0,34.49443817138672,0.03607415780425072,13.999999046325684,21.92751884460449,0.0,4.969681262969971,0.09698840975761411,0.0,96965.7890625,1.036584308167221e-05,261.0641174316406,294.99981689453125,277.1322631835937,279.0903015136719,64.03642082214355,0.1925649810582399,1.825281,13701,50.59334,2.5388522,7.4282603,0.48226628,0.13056001,1.9039168,5.074249,0.40308204,2015.0,5.60789105
155,2014.0,51.3612556,-98.75,0.11446711421012878,0.5102099776268004,1.5791505575180051,0.19484250247478485,0.034623999148607254,0.16366490721702576,1.0595693311188368e-05,0.5743098855018616,280.589599609375,-1.8944402881970743e-06,35.12424850463867,37.29300308227539,0.0023355465382337566,17.87150764465332,0.17305682599544525,24.000001907348633,20.660095214843754,0.0023355465382337566,3.044588804244995,1.0969210863113403,28.1658992767334,98061.5078125,1.072105806088075e-05,261.24957275390625,295.5830078125,277.14407348632807,279.5641174316406,55.16451072692871,1.2460121996700764,1.965938,13702,-0.6376142,0.36806464,1.4712379,0.095167845,0.04038232,0.3575228,0.9330562,0.09210876,2015.0,1.0655472799999999
156,2014.0,51.3612556,-97.5,0.06348662078380585,0.16864560544490814,0.47566661238670344,0.26885262131690973,0.030822915956377983,0.12351774424314498,8.053056262724567e-06,0.7420384287834166,279.9950866699219,-9.519360446574866e-07,32.158443450927734,27.538442611694332,0.01319319475442171,20.34882164001465,0.18655370175838473,12.0,39.91299057006836,0.01319319475442171,4.6128478050231925,0.21007587015628812,0.00667297700420022,98516.8515625,1.1859426194860134e-05,261.0684509277344,295.3741760253906,276.8835754394531,279.1120300292969,47.88726425170898,0.304385406896472,2.1008268,13703,78.1488,2.3787756,8.769913,0.48249456,0.15572843,2.25276,6.037358,0.5084472,2015.0,6.70153363
